"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_norm","batch_size","dropout","lr","negative_slope","epoch","val_acc_epoch","train_acc_batch","train_acc_epoch","train_loss_agr_epoch","train_loss_batch","train_loss_con_epoch","train_loss_epoch","train_loss_ext_epoch","train_loss_neu_epoch","train_loss_ope_epoch","trainer/global_step","val_loss_agr_epoch","val_loss_con_epoch","val_loss_epoch","val_loss_ext_epoch","val_loss_neu_epoch","val_loss_ope_epoch"
"earnest-sweep-49","finished","-","krl1","","2022-05-30T09:39:14.000Z","889","74r43ctv","false","8","0.4","0.0001","0.02","24","0.6606165170669556","0.6000000238418579","0.6727067828178406","0.5576678514480591","0.7004285454750061","0.5991940498352051","0.5627897381782532","0.5682458281517029","0.5842836499214172","0.50455641746521","81199","0.5915696024894714","0.6522393226623535","0.6032991409301758","0.5915898680686951","0.6438997387886047","0.5371973514556885"
"decent-sweep-48","finished","-","krl1","","2022-05-30T08:45:18.000Z","3232","74r43ctv","true","16","0.3","0.000005","0.05","159","0.6421726942062378","0.637499988079071","0.6440805196762085","0.5732876658439636","0.708902895450592","0.6231020092964172","0.5883994102478027","0.5939491391181946","0.6195498108863831","0.532107412815094","259839","0.586216151714325","0.644417405128479","0.6051291823387146","0.6006016135215759","0.6466474533081055","0.5477628111839294"
"electric-sweep-47","finished","-","krl1","","2022-05-30T08:33:07.000Z","726","74r43ctv","false","4","0.2","0.005","0.1","9","0.6650611162185669","0.6000000238418579","0.6985780000686646","0.5371893048286438","0.5670098066329956","0.5718211531639099","0.5406450629234314","0.5486596822738647","0.5578130483627319","0.4877404272556305","64949","0.5894871354103088","0.6361312866210938","0.5978159308433533","0.5919666886329651","0.6475726366043091","0.5239217877388"
"iconic-sweep-45","finished","-","krl1","","2022-05-30T08:23:49.000Z","390","74r43ctv","false","32","0","0.0005","0.1","41","0.6643142104148865","0.71875","0.756348729133606","0.3967781662940979","0.6093792915344238","0.4105508029460907","0.38965150713920593","0.3934220373630524","0.3938465118408203","0.3536597192287445","34103","0.6771673560142517","0.7009502053260803","0.7184053659439087","0.7157754302024841","0.82254558801651","0.6755880117416382"
"solar-sweep-44","finished","-","krl1","","2022-05-30T08:09:56.000Z","828","74r43ctv","false","32","0.1","0.00005","0.02","86","0.6549246311187744","0.737500011920929","0.6999748945236206","0.5134387016296387","0.5221206545829773","0.5502025485038757","0.507912814617157","0.5159211754798889","0.5088271498680115","0.451174259185791","70643","0.5997667908668518","0.6523510217666626","0.6202418804168701","0.6138847470283508","0.6652833819389343","0.5699236989021301"
"sandy-sweep-41","finished","-","krl1","","2022-05-30T08:00:27.000Z","365","74r43ctv","true","16","0.2","0.01","0.01","17","0.6675360798835754","0.6499999761581421","0.7368159294128418","0.501630961894989","0.7149288058280945","0.5326429605484009","0.5026381015777588","0.5053773522377014","0.5175331830978394","0.45600658655166626","29231","0.6069483757019043","0.6297546625137329","0.6255024075508118","0.6331751942634583","0.6914359331130981","0.56619793176651"
"spring-sweep-40","finished","-","krl1","","2022-05-30T07:37:17.000Z","1385","74r43ctv","false","2","0.4","0.0001","0","7","0.6572991609573364","0.800000011920929","0.6614755392074585","0.5794379711151123","0.6083465814590454","0.6284604668617249","0.5970291495323181","0.6121171712875366","0.6276838183403015","0.5374472141265869","103911","0.5927522778511047","0.6519695520401001","0.6045321226119995","0.5984640717506409","0.6464756727218628","0.5329988598823547"
"sleek-sweep-39","finished","-","krl1","","2022-05-30T07:26:43.000Z","627","74r43ctv","false","2","0.2","0.01","0.05","3","0.6536906957626343","0.6000000238418579","0.6635850667953491","0.5878073573112488","0.6598936319351196","0.6379932165145874","0.6061827540397644","0.6199967265129089","0.6360872387886047","0.5490266680717468","51955","0.5964625477790833","0.688220202922821","0.6249653100967407","0.6302431225776672","0.6731276512145996","0.5367729663848877"
"sleek-sweep-38","finished","-","krl1","","2022-05-30T06:37:27.000Z","2950","74r43ctv","false","8","0","0.000005","0","79","0.637511670589447","0.42500001192092896","0.643262505531311","0.5914861559867859","0.6880377531051636","0.6493406295776367","0.604414701461792","0.6097664833068848","0.6441552042961121","0.5273244380950928","259839","0.6120144128799438","0.6757989525794983","0.6242803335189819","0.6195716261863708","0.6723229885101318","0.5416935086250305"
"gentle-sweep-37","finished","-","krl1","","2022-05-30T06:31:41.000Z","340","74r43ctv","true","128","0.1","0.0005","0","131","0.6545379757881165","0.8296874761581421","0.8163616061210632","0.3843265473842621","0.3478599786758423","0.3830447494983673","0.35972076654434204","0.34549814462661743","0.3623208403587342","0.3234139382839203","26795","0.6601000428199768","0.6679587364196777","0.73061203956604","0.7441394925117493","0.8438277244567871","0.7370341420173645"
"stellar-sweep-36","finished","-","krl1","","2022-05-30T06:26:33.000Z","303","74r43ctv","true","32","0.3","0.005","0","32","0.670259952545166","0.7437499761581421","0.7489688396453857","0.4884556531906128","0.47968530654907227","0.5253733992576599","0.4873867630958557","0.487444669008255","0.4886105954647064","0.44704973697662354","26795","0.6109614968299866","0.6193973422050476","0.62465500831604","0.6195909380912781","0.6969413757324219","0.5763837695121765"
"polished-sweep-35","finished","-","krl1","","2022-05-30T06:21:50.000Z","280","74r43ctv","false","64","0","0.005","0.01","65","0.648941159248352","0.846875011920929","0.8280653953552246","0.2960231900215149","0.33916041254997253","0.290854811668396","0.2852262556552887","0.28505077958106995","0.2876136898994446","0.26658895611763","26795","0.94240003824234","0.8918553590774536","0.9698907136917114","0.931366205215454","1.194118618965149","0.8897131085395813"
"divine-sweep-34","finished","-","krl1","","2022-05-30T06:15:53.000Z","352","74r43ctv","false","16","0.3","0.0005","0.05","21","0.6617687344551086","0.7749999761581421","0.7191711664199829","0.5062311887741089","0.46356186270713806","0.5434661507606506","0.5010098814964294","0.5099872946739197","0.5014607906341553","0.44390323758125305","35727","0.6000140905380249","0.6653319597244263","0.6296207308769226","0.6233777403831482","0.6991749405860901","0.5602051615715027"
"distinctive-sweep-33","finished","-","krl1","","2022-05-30T06:10:34.000Z","315","74r43ctv","false","32","0.2","0.001","0.01","37","0.6557127833366394","0.768750011920929","0.75296950340271","0.4532775282859802","0.5220693349838257","0.5032645463943481","0.4461657702922821","0.448121577501297","0.42707693576812744","0.39908891916275024","30855","0.644312858581543","0.6608107686042786","0.6628580689430237","0.6475891470909119","0.7511544823646545","0.6104231476783752"
"crisp-sweep-31","finished","-","krl1","","2022-05-30T06:00:24.000Z","338","74r43ctv","true","32","0.2","0.01","0.1","36","0.6685835719108582","0.768750011920929","0.7640132904052734","0.46903449296951294","0.5447850227355957","0.4859348833560944","0.4624258279800415","0.4695008397102356","0.4692187905311585","0.4184404909610748","30043","0.6118813157081604","0.6137596368789673","0.6216562986373901","0.611052393913269","0.6806975603103638","0.5908907055854797"
"swift-sweep-29","finished","-","krl1","","2022-05-30T05:54:37.000Z","297","74r43ctv","false","32","0","0.005","0.02","36","0.6581869125366211","0.856249988079071","0.812088668346405","0.32623594999313354","0.3347420394420624","0.31550297141075134","0.30638816952705383","0.2963429391384125","0.31728482246398926","0.27657437324523926","30043","0.7709949016571045","0.7734143137931824","0.8586338758468628","1.0417160987854004","0.8607664704322815","0.8462779521942139"
"woven-sweep-27","finished","-","krl1","","2022-05-30T05:33:48.000Z","950","74r43ctv","false","32","0.1","0.00005","0.01","118","0.6653536558151245","0.84375","0.7055450677871704","0.4974346458911896","0.40389785170555115","0.5254001021385193","0.49572059512138367","0.4950952231884002","0.5146695375442505","0.446004182100296","96627","0.5783053636550903","0.6087266802787781","0.6015452146530151","0.6170812249183655","0.6561331152915955","0.5474797487258911"
"sweepy-sweep-26","finished","-","krl1","","2022-05-30T04:58:58.000Z","2084","74r43ctv","true","16","0.1","0.000005","0","119","0.6445822715759277","0.762499988079071","0.6674804091453552","0.5445926189422607","0.4888949394226074","0.5722398161888123","0.5505003929138184","0.5586802363395691","0.5737165808677673","0.503273069858551","194879","0.574318528175354","0.6226099729537964","0.5958271026611328","0.5950046181678772","0.6426419019699097","0.544560432434082"
"royal-sweep-25","finished","-","krl1","","2022-05-30T04:53:35.000Z","321","74r43ctv","false","128","0.2","0.001","0","137","0.6454107165336609","0.78125","0.7540805339813232","0.4785161316394806","0.43332210183143616","0.527913510799408","0.4714261293411255","0.4737069308757782","0.458962082862854","0.4180320203304291","28013","0.6273694038391113","0.6701650619506836","0.6543422341346741","0.6406421065330505","0.7239028811454773","0.6096315383911133"
"major-sweep-24","finished","-","krl1","","2022-05-30T04:46:22.000Z","430","74r43ctv","false","32","0","0.0005","0","53","0.6693615913391113","0.824999988079071","0.7405579686164856","0.44313502311706543","0.4877263009548187","0.4413130283355713","0.4338073134422302","0.4378545880317688","0.4499759376049042","0.3967574834823608","43847","0.6169984340667725","0.6426259875297546","0.65657639503479","0.6729274392127991","0.7555627822875977","0.5947673320770264"
"hearty-sweep-23","finished","-","krl1","","2022-05-30T04:32:57.000Z","801","74r43ctv","true","64","0","0.000005","0","174","0.6473060846328735","0.7684210538864136","0.7171924114227295","0.47952336072921753","0.4693477153778076","0.4933542609214782","0.474491149187088","0.45689857006073","0.4895550012588501","0.4531247615814209","71049","0.600722074508667","0.6568756699562073","0.6296180486679077","0.6525529623031616","0.6919707655906677","0.5459690690040588"
"still-sweep-22","finished","-","krl1","","2022-05-30T04:00:03.000Z","1966","74r43ctv","false","16","0","0.00005","0.02","129","0.6665575504302979","0.737500011920929","0.7049458622932434","0.5291171669960022","0.4580729603767395","0.538025975227356","0.5253869295120239","0.5255954265594482","0.5569174289703369","0.47727909684181213","211119","0.5585873126983643","0.6154990792274475","0.5929290652275085","0.6057299375534058","0.6417943835258484","0.5430343151092529"
"electric-sweep-21","finished","-","krl1","","2022-05-30T03:51:19.000Z","520","74r43ctv","false","16","0.3","0.005","0","32","0.6621026396751404","0.7250000238418579","0.6765891909599304","0.5748186111450195","0.5413051843643188","0.6202251315116882","0.587698221206665","0.598214328289032","0.6138697862625122","0.5313629508018494","53591","0.5978807806968689","0.6615057587623596","0.6214916110038757","0.6343590021133423","0.6598209738731384","0.5538915395736694"
"misty-sweep-19","finished","-","krl1","","2022-05-30T03:45:39.000Z","294","74r43ctv","true","32","0","0.0005","0.1","32","0.6554895639419556","0.856249988079071","0.8223386406898499","0.3596351742744446","0.32390087842941284","0.35730886459350586","0.34205162525177","0.33739256858825684","0.3409823179244995","0.3149392306804657","26795","0.6661985516548157","0.7654043436050415","0.7414303421974182","0.7618850469589233","0.8483116626739502","0.6653527021408081"
"likely-sweep-18","finished","-","krl1","","2022-05-30T03:31:16.000Z","859","74r43ctv","false","2","0.1","0.001","0.02","6","0.6635265946388245","0.5","0.7127931714057922","0.5157483816146851","0.5637061595916748","0.523953378200531","0.508454442024231","0.5140283107757568","0.5311505794525146","0.4573889672756195","90922","0.5863305330276489","0.6342060565948486","0.6128692030906677","0.6303294897079468","0.6632694005966187","0.5502105355262756"
"generous-sweep-17","finished","-","krl1","","2022-05-30T03:25:35.000Z","334","74r43ctv","false","16","0.3","0.005","0.01","20","0.6646450161933899","0.7124999761581421","0.6953381896018982","0.5445767045021057","0.5101203322410583","0.593521773815155","0.5508643388748169","0.5609604120254517","0.5643969774246216","0.4908648729324341","34103","0.5870229005813599","0.6570302844047546","0.6048110127449036","0.5930761694908142","0.650861918926239","0.5360636711120605"
"fanciful-sweep-15","finished","-","krl1","","2022-05-30T02:43:33.000Z","2362","74r43ctv","false","2","0","0.00001","0.1","19","0.6405385732650757","0.8999999761581421","0.6400238871574402","0.582977831363678","0.3310243785381317","0.6271957755088806","0.5964331030845642","0.6009371280670166","0.6393052935600281","0.5317492485046387","259779","0.5966576933860779","0.651439368724823","0.6134989261627197","0.6157946586608887","0.6658099889755249","0.5377930998802185"
"leafy-sweep-14","finished","-","krl1","","2022-05-30T02:05:51.000Z","2259","74r43ctv","true","16","0.2","0.000005","0.05","130","0.6543045043945312","0.699999988079071","0.6580618023872375","0.5570932626724243","0.552658200263977","0.5908263325691223","0.5717126131057739","0.5831748843193054","0.6001161932945251","0.5273523926734924","212743","0.5686883926391602","0.6174072623252869","0.5882844924926758","0.5881308913230896","0.6389638185501099","0.5282321572303772"
"exalted-sweep-13","finished","-","krl1","","2022-05-30T01:51:37.000Z","851","74r43ctv","false","2","0.4","0.001","0.01","6","0.6622095108032227","0.6000000238418579","0.675110399723053","0.570476770401001","0.7218332290649414","0.6147884726524353","0.583116352558136","0.5955321192741394","0.6090207099914551","0.5257647633552551","90922","0.5857635140419006","0.6599796414375305","0.6018015146255493","0.5917915105819702","0.6470853686332703","0.5243876576423645"
"morning-sweep-11","finished","-","krl1","","2022-05-30T01:22:51.000Z","1587","74r43ctv","false","8","0.2","0.00005","0.01","51","0.6689756512641907","0.699999988079071","0.6935296058654785","0.5276481509208679","0.5039470791816711","0.545026421546936","0.5261427760124207","0.5312046408653259","0.5496651530265808","0.477168083190918","168895","0.5643782019615173","0.6188002228736877","0.5901514291763306","0.5980140566825867","0.6419342160224915","0.5276302099227905"
"swift-sweep-10","finished","-","krl1","","2022-05-30T01:17:42.000Z","302","74r43ctv","true","16","0.1","0.01","0","16","0.6628326773643494","0.75","0.7542328238487244","0.4838701486587525","0.4623902440071106","0.49126338958740234","0.4719986617565155","0.47372210025787354","0.4833918511867523","0.42774564027786255","27607","0.6128938794136047","0.6265546679496765","0.6341564655303955","0.6262273788452148","0.7126479744911194","0.5924586057662964"
"eternal-sweep-9","finished","-","krl1","","2022-05-30T01:09:58.000Z","458","74r43ctv","false","128","0.3","0.0001","0.1","203","0.6649600267410278","0.7328125238418579","0.7231507897377014","0.4928462207317352","0.5334792137145996","0.533470869064331","0.489044189453125","0.4951181709766388","0.4855018258094787","0.43828344345092773","41411","0.6138611435890198","0.6551105380058289","0.6205024719238281","0.5969401001930237","0.6804038882255554","0.5561968088150024"
"earnest-sweep-7","finished","-","krl1","","2022-05-30T01:04:13.000Z","289","74r43ctv","true","32","0","0.001","0.1","32","0.6505236029624939","0.8062499761581421","0.8297311663627625","0.34833481907844543","0.3624401986598969","0.3439815938472748","0.3303786516189575","0.32646381855010986","0.33484065532684326","0.29827290773391724","26795","0.6962488889694214","0.7318061590194702","0.7618609666824341","0.8089274764060974","0.8723382949829102","0.699983537197113"
"soft-sweep-6","finished","-","krl1","","2022-05-30T00:45:59.000Z","1090","74r43ctv","true","16","0.1","0.00001","0","62","0.6605744957923889","0.8125","0.6793552041053772","0.5423071384429932","0.4459342956542969","0.5633079409599304","0.5436566472053528","0.54120934009552","0.5756892561912537","0.4957701861858368","102311","0.5737447738647461","0.6268861889839172","0.5938798785209656","0.5901711583137512","0.6361443400382996","0.5424530506134033"
"noble-sweep-5","finished","-","krl1","","2022-05-30T00:39:30.000Z","382","74r43ctv","true","32","0.1","0.00005","0.01","42","0.6637434959411621","0.7124999761581421","0.7249520421028137","0.4821168780326843","0.5105485320091248","0.5150251984596252","0.4834335744380951","0.484345942735672","0.4933463931083679","0.4423328638076782","34915","0.6134117841720581","0.617877721786499","0.6334654092788696","0.6497018933296204","0.6982671618461609","0.5880683660507202"
"dainty-sweep-4","finished","-","krl1","","2022-05-30T00:20:51.000Z","1115","74r43ctv","false","32","0.3","0.00005","0.1","142","0.6651890277862549","0.78125","0.6905678510665894","0.5324406027793884","0.4711742401123047","0.5675605535507202","0.5363816618919373","0.5472190380096436","0.5514911413192749","0.4831967055797577","116115","0.5831188559532166","0.6411439180374146","0.5996997952461243","0.595000684261322","0.6449533104896545","0.5342822670936584"
"dutiful-sweep-3","finished","-","krl1","","2022-05-30T00:11:32.000Z","553","74r43ctv","false","4","0.1","0.001","0","8","0.6553274989128113","0.75","0.7039346694946289","0.5262014269828796","0.5019386410713196","0.5608621835708618","0.5263128876686096","0.5360091924667358","0.5324016213417053","0.47608840465545654","58454","0.605705976486206","0.6715978384017944","0.620943546295166","0.5884085893630981","0.6876415610313416","0.5513635873794556"
"glowing-sweep-2","finished","-","krl1","","2022-05-30T00:04:30.000Z","418","74r43ctv","true","16","0.2","0.0001","0.01","23","0.6686992049217224","0.737500011920929","0.6992730498313904","0.5215344429016113","0.5002352595329285","0.5612447261810303","0.5284136533737183","0.5303410887718201","0.5458312034606934","0.48311689496040344","38975","0.5810326337814331","0.617455244064331","0.6022413372993469","0.6042701005935669","0.6578641533851624","0.550584614276886"
"rare-sweep-1","finished","-","krl1","","2022-05-29T23:45:12.000Z","1152","74r43ctv","true","64","0","0.005","0.01","64","0.6462426781654358","0.890625","0.869636058807373","0.28447893261909485","0.27708369493484497","0.26980355381965637","0.25821635127067566","0.252869188785553","0.2633724808692932","0.22055770456790924","26389","0.8220598101615906","0.9064362049102784","0.9443318247795104","0.9213336110115052","1.151535153388977","0.9202944040298462"
